Fehezanteny,Sokajinteny
"""Ary nahita azy ny tandapan'i Farao ka nidera azy tamin'i Farao; dia nentina tao an-tranon'i Farao izy.""",Mpampitohy Matoanteny Mpisolo Mpanoritra Anarana Mpanoritra Anarana Kianteny Matoanteny Mpisolo Mpampiankina Mpanoritra Anarana Kianteny Matoanteny Tambinteny Tambinteny Anarana Mpanoritra Anarana Mpisolo
"""Ary Abrama nasian'i Farao soa noho ny amin'i Saray; dia nahazo ondry sy omby sy borikilahy sy andevolahy sy andevovavy sy borikivavy sy rameva izy.""",Mpampitohy Anarana Matoanteny Mpanoritra Anarana Mpamaritra Mpampitohy Mpanoritra Mpampiankina Mpanoritra Anarana Kianteny Matoanteny Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Anarana Mpisolo
"""Dia nasian'i Jehovah areti-mandoza Farao sy ny ankohonany noho ny amin'i Saray, vadin'i Abrama.""",Kianteny Matoanteny Mpanoritra Anarana Anarana Matoanteny Anarana Mpampitohy Mpanoritra Anarana Mpampitohy Mpanoritra Mpampiankina Mpanoritra Anarana Anarana Mpanoritra Anarana
"""Ary Farao dia nampaka an'i Abrama ka nanao hoe: Inona izao nataonao tamiko izao? Nahoana no tsy nambaranao tamiko fa vadinao izy? Nahoana ianao no nanao hoe: Anabaviko izy? ka nalaiko ho vady izy; koa ankehitriny, indro ny vadinao, ento izy, ka mandehana.""",Mpampitohy Anarana Kianteny Matoanteny Tambinteny Mpanoritra Anarana Kianteny Matoanteny Tambinteny Mpisolo Mpisolo Matoanteny Mpisolo Mpisolo Tambinteny Kianteny Tambinteny Matoanteny Mpisolo Tambinteny Anarana Mpisolo Tambinteny Mpisolo Kianteny Matoanteny Tambinteny Anarana Mpisolo Kianteny Matoanteny Kianteny Anarana Mpisolo Mpampitohy Tambinteny Tenim-piotanana Mpanoritra Anarana Matoanteny Mpisolo Kianteny Matoanteny
"""Dia nomen'i Farao teny ny mpanompony sasany ny amin'i Abrama; ary dia nanatitra azy sy ny vadiny mbamin'ny fananany rehetra ireo.""",Mpampitohy Matoanteny Mpanoritra Anarana Anarana Mpanoritra Anarana Mpamaritra Mpanoritra Mpampiankina Mpanoritra Anarana Mpampitohy Kianteny Matoanteny Mpisolo Mpampitohy Mpanoritra Anarana Mpampiankina Mpanoritra Anarana Mpamaritra Mpisolo
"""Ary Abrama dia niakatra niala tany Egypta, dia izy sy ny vadiny mbamin'ny fananany rehetra, ary Lota koa niaraka taminy, ho any amin'ny tany atsimo.""",Mpampitohy Anarana Kianteny Matoanteny Matoanteny Tambinteny Anarana Kianteny Mpisolo Mpampitohy Mpanoritra Anarana Mpampiankina Mpanoritra Anarana Mpamaritra Mpampitohy Anarana Mpampitohy Matoanteny Mpampiankina Kianteny Tambinteny Mpampiankina Mpanoritra Anarana Anarana
"""Ary Abrama nanana harena be, dia omby aman'ondry sy volafotsy ary volamena.""",Mpampitohy Anarana Matoanteny Anarana Mpamaritra Kianteny Anarana Mpampiankina Anarana Mpampitohy Anarana Mpampitohy Anarana
"""Ary mbola nandeha ihany izy ka nifindrafindra hatrany amin'ny tany atsimo ka hatrany Betela, izay niorenan'ny lainy tamin'ny voalohany, teo anelanelan'i Betela sy Ay, dia teo amin'ny tany izay nisy ilay alitara nataony tamin'ny voalohany; ary dia niantso ny anaran'i Jehovah teo Abrama.""",Mpampitohy Tambinteny Matoanteny Tambinteny Mpisolo Kianteny Matoanteny Tambinteny Mpampiankina Mpanoritra Anarana Anarana Kianteny Tambinteny Anarana Mpisolo Matoanteny Mpanoritra Anarana Mpampiankina Mpanoritra Mpamaritra Tambinteny Tambinteny Mpanoritra Anarana Mpampitohy Anarana Kianteny Tambinteny Mpampiankina Mpanoritra Anarana Mpisolo Matoanteny Mpanoritra Anarana Matoanteny Mpampiankina Mpanoritra Anarana Mpampitohy Kianteny Matoanteny Mpanoritra Anarana Mpanoritra Anarana Tambinteny Anarana
"""Ary Lota koa, izay niara-nandeha tamin'i Abrama, dia mba nanana ondry sy omby sy lay.""",Mpampitohy Anarana Mpampitohy Mpisolo Matoanteny Matoanteny Mpampiankina Mpanoritra Anarana Kianteny Kianteny Matoanteny Anarana Mpampitohy Anarana Mpampitohy Anarana
"""Ary tsy omby azy roa lahy ny tany hiraisany monina; fa efa be ny fananany, ka tsy nahazo niray monina izy.""",Mpampitohy Tambinteny Anarana Mpisolo Mpamaritra Anarana Mpanoritra Anarana Matoanteny Matoanteny Tambinteny Tambinteny Mpamaritra Mpanoritra Anarana Kianteny Tambinteny Matoanteny Matoanteny Matoanteny Mpisolo
"""Dia niady ny mpiandry ombin'i Abrama sy ny mpiandry ombin'i Lota; ary ny Kananita sy ny Perizita no tompon-tany tao Kanana fahizay.""",Mpampitohy Matoanteny Mpanoritra Anarana Anarana Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Anarana Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Kianteny Anarana Anarana Tambinteny Anarana Tambinteny
"""Ary hoy Abrama tamin'i Lota: Aoka re mba tsy hisy ady amintsika roa lahy, na amin'ny mpiandry ombiko sy ny mpiandry ombinao, fa mpirahalahy isika.""",Mpampitohy Mpamaritra Anarana Mpampiankina Mpanoritra Anarana Tenim-piotanana Kianteny Kianteny Tambinteny Matoanteny Anarana Mpisolo Mpamaritra Anarana Kianteny Mpampiankina Mpanoritra Anarana Anarana Mpampitohy Mpanoritra Anarana Anarana Tambinteny Anarana Mpisolo
"""Moa tsy eo anoloanao va ny tany rehetra? Masìna ianao, aoka hisaraka amiko ianao; raha hianavaratra ianao.""",Kianteny Tambinteny Tambinteny Matoanteny Kianteny Mpanoritra Anarana Mpamaritra Mpamaritra Mpisolo Tenim-piotanana Matoanteny Mpisolo Mpisolo Mpampitohy Matoanteny Mpisolo
"""Dia hianatsimo aho; fa raha hianatsimo ianao, dia hianavaratra kosa aho.""",Mpampitohy Matoanteny Mpisolo Tambinteny Mpampitohy Matoanteny Mpisolo Kianteny Matoanteny Mpampitohy Mpisolo
"""Ary Lota nanopy ny masony ka nitazana ny tany rehetra teny amoron'i Jordana hatrany akaikin'i Zoara, fa azon-drano avokoa izy rehetra (talohan'ny nandravan'i Jehovah an'i Sodoma sy Gomora izany), tahaka ny sahan'i Jehovah sy tahaka ny tany Egypta.""",Mpampitohy Anarana Matoanteny Mpanoritra Anarana Kianteny Matoanteny Mpanoritra Anarana Mpamaritra Tambinteny Matoanteny Mpanoritra Anarana Tambinteny Matoanteny Mpanoritra Anarana Tambinteny Anarana Anarana Mpamaritra Mpisolo Mpamaritra Tambinteny Mpanoritra Matoanteny Mpanoritra Anarana Tambinteny Mpanoritra Anarana Mpampitohy Anarana Mpisolo Mpamaritra Mpanoritra Anarana Mpanoritra Anarana Mpampitohy Mpamaritra Mpanoritra Anarana Anarana
"""Dia nofidin'i Lota ho azy ny tany rehetra amoron'i Jordana, ka nifindra niantsinanana izy; ka dia nisaraka izy roa lahy.""",Mpampitohy Matoanteny Mpanoritra Anarana Kianteny Mpisolo Mpanoritra Anarana Mpamaritra Tambinteny Mpanoritra Anarana Kianteny Matoanteny Matoanteny Mpisolo Kianteny Kianteny Matoanteny Mpisolo Mpamaritra Anarana
"""Ary Abrama nonina tao amin'ny tany Kanana.""",Mpampitohy Anarana Matoanteny Tambinteny Mpampiankina Mpanoritra Anarana Anarana
"""Fa Lota kosa nonina tao an-tanàna amin'ny tany amoron'i Jordana ka nifindrafindra toby hatrany Sodoma.""",Tambinteny Anarana Mpampitohy Matoanteny Tambinteny Tambinteny Anarana Mpampiankina Mpanoritra Anarana Tambinteny Mpanoritra Anarana Kianteny Matoanteny Anarana Tambinteny Anarana
"""Ary ny mponina tao Sodoma dia tena ratsy fanahy sady mpanota indrindra tamin'i Jehovah.""",Mpampitohy Mpanoritra Anarana Tambinteny Anarana Kianteny Anarana Mpamaritra Anarana Mpampitohy Anarana Tambinteny Mpampiankina Mpanoritra Anarana
"""Ary Jehovah niteny tamin'i Abrama taorian'ny nisarahan'i Lota taminy ka nanao hoe: Atopazy ny masonao, ka hatramin'ity tany itoeranao ity dia mitazana mianavaratra sy mianatsimo ary miantsinanana sy miankandrefana; fa ny tany rehetra izay tazanao dia homeko anao sy ny taranakao mandrakizay.""",Mpampitohy Anarana Matoanteny Mpampiankina Mpanoritra Anarana Tambinteny Mpanoritra Matoanteny Mpanoritra Anarana Mpampiankina Kianteny Matoanteny Tambinteny Matoanteny Mpanoritra Anarana Kianteny Tambinteny Mpisolo Anarana Matoanteny Mpisolo Kianteny Matoanteny Matoanteny Mpampitohy Matoanteny Mpampitohy Matoanteny Mpampitohy Matoanteny Tambinteny Mpanoritra Anarana Mpamaritra Mpisolo Anarana Kianteny Matoanteny Mpisolo Mpampitohy Mpanoritra Anarana Tambinteny 
"""Ary hataoko maro tahaka ny vovo-tany ny taranakao; koa raha misy olona mahisa ny vovo-tany, dia ho azo isaina koa ny taranakao.""",Mpampitohy Matoanteny Mpamaritra Mpamaritra Mpanoritra Anarana Anarana Mpanoritra Anarana Mpampitohy Mpampitohy Matoanteny Anarana Matoanteny Mpanoritra Anarana Anarana Kianteny Kianteny Matoanteny Matoanteny Mpampitohy Mpanoritra Anarana
"""Miaingà ianao, mandehana mitety ny tany, dia any amin'ny lavany sy any amin'ny sakany; fa homeko anao izy.""",Matoanteny Mpisolo Matoanteny Matoanteny Mpanoritra Anarana Kianteny Tambinteny Mpampiankina Mpanoritra Anarana Mpampitohy Tambinteny Mpampiankina Mpanoritra Anarana Tambinteny Matoanteny Mpisolo Mpisolo 
"""Ary Abrama nifindrafindra toby.""",Mpampitohy Anarana Matoanteny Anarana
"""Dia nandeha ka nonina teo an-kazo terebintan'i Mamre, izay any Hebrona, ary nanorina alitara teo ho an'i Jehovah izy.""",Mpampitohy Matoanteny Kianteny Matoanteny Tambinteny Tambinteny Anarana Anarana Mpanoritra Anarana Mpisolo Tambinteny Anarana Mpampitohy Matoanteny Anarana Tambinteny Kianteny Tambinteny Mpanoritra Anarana Mpisolo
"""Ary tamin'ny andron'i Amrafela mpanjakan'i Sinara, sy Arioka, mpanjakan'i Elasara sy Kedorlaomera mpanjakan'i Elama ary Tidala mpanjakan'ny Goima, dia nandeha izy ireo ka nanafika an'i Bera, mpanjakan'i Sodoma sy Birsa, mpanjakan'i Gomora sy Sinaba, mpanjakan'i Adma, sy Semebera, mpanjakan'i Zeboima, ary ny mpanjakan'i Bela (dia Zoara izany).""",Mpampitohy Mpampiankina Mpanoritra Anarana Mpanoritra Anarana Anarana Mpanoritra Anarana Mpampitohy Anarana Anarana Mpanoritra Anarana Mpampitohy Anarana Anarana Mpanoritra Anarana Mpampitohy Anarana Anarana Mpanoritra Anarana Kianteny Matoanteny Mpisolo Mpisolo Kianteny Matoanteny Tambinteny Mpanoritra Anarana Anarana Mpanoritra Anarana Mpampitohy Anarana Anarana Mpanoritra Anarana Mpampitohy Anarana Anarana Mpanoritra Anarana Mpampitohy Anarana Anarana Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpanoritra Anarana Kianteny Anarana Mpisolo
"""Ary ireo rehetra ireo dia nanao fotoana ka nivory tao an-dohasahan'i Sidima (dia ny Ranomasin-tsira izany).""",Mpampitohy Mpisolo Mpamaritra Mpisolo Kianteny Matoanteny Anarana Kianteny Matoanteny Tambinteny Tambinteny Anarana Mpanoritra Anarana Kianteny Mpanoritra Anarana Anarana Mpisolo
"""Fa efa nanompo an'i Kedorlaomera roa ambin'ny folo taona ireo, fa tamin'ny taona fahatelo ambin'ny folo kosa dia niodina izy.""",Tambinteny Tambinteny Matoanteny Tambinteny Mpanoritra Anarana Mpamaritra Anarana Mpanoritra Mpamaritra Anarana Mpisolo Tambinteny Mpampiankina Mpanoritra Anarana Tambinteny Anarana Mpanoritra Mpamaritra Mpampitohy Kianteny Matoanteny Mpisolo
"""Ary tamin'ny taona fahefatra ambin'ny folo dia tonga Kedorlaomera sy ireo mpanjaka nomba azy ka namely ny Refaita tany Astarta-karnaima sy ny Zozima tany Hama ary ny Emima tany Save-kiriataima ary ny Horita tany an-tendrombohitra Seira hatrany Elparana, izay eo anilan'ny efitra.""",Mpampitohy Mpampiankina Mpanoritra Anarana Tambinteny Anarana Mpanoritra Mpamaritra Kianteny Matoanteny Anarana Mpampitohy Mpisolo Anarana Matoanteny Mpisolo Kianteny Matoanteny Mpanoritra Anarana Tambinteny Anarana Anarana Mpampitohy Mpanoritra Anarana Tambinteny Anarana Mpampitohy Mpanoritra Anarana Tambinteny Anarana Anarana Mpampitohy Mpanoritra Anarana Tambinteny Tambinteny Anarana Anarana Tambinteny Anarana Mpisolo Tambinteny Tambinteny Mpanoritra Anarana
"""Dia niverina indray izy ireo ka nankany Ena-mispata (dia Kadesy izany) ka namely ny tany rehetra an'ny Amalekita sy ny Amorita koa, izay nonina tany Hazazon-tamara.""",Mpanoritra Matoanteny Tambinteny Mpisolo Mpisolo Kianteny Matoanteny Anarana Anarana Kianteny Anarana Mpisolo Kianteny Matoanteny Mpanoritra Anarana Mpamaritra Tambinteny Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpampitohy Mpisolo Matoanteny Tambinteny Anarana Anarana 
"""Dia nivoaka ny mpanjakan'i Sodoma sy ny mpanjakan'i Gomora sy ny mpanjakan'i Adma sy ny mpanjakan'i Zeboima ary ny mpanjakan'i Bela (dia Zoara izany) ka nilahatra hiady amin'ireo teo an-dohasahan'i Sidima, dia tamin'i Kedorlaomera, mpanjakan'i Elama, sy Tidala, mpanjakan'ny Goima sy Amrafela, mpanjakan'i Sinara ary Arioka, mpanjakan'i Elasara; dia mpanjaka efatra no niady tamin'ny mpanjaka dimy.""",Mpampitohy Matoanteny Mpanoritra Anarana Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpanoritra Anarana Kianteny Anarana Mpisolo Kianteny Matoanteny Matoanteny Mpampiankina Mpisolo Tambinteny Tambinteny Anarana Mpanoritra Anarana Kianteny Mpampiankina Mpanoritra Anarana Anarana Mpanoritra Anarana Mpampitohy Anarana Anarana Mpanoritra Anarana Mpampitohy Anarana Anarana Mpanoritra Anarana Mpampitohy Anarana Anarana Mpanoritra Anarana Kianteny Anarana Mpamaritra Kianteny Matoanteny Mpampiankina Mpanoritra Anarana Mpamaritra 
"""Ary ny lohasahan'i Sidima, dia be lavak'asfalta, ary nandositra ny mpanjakan'i Sodoma sy ny mpanjakan'i Gomora ka latsaka tao; ary ny sisa nandositra tany an-tendrombohitra.""",Mpampitohy Mpanoritra Anarana Mpanoritra Anarana Kianteny Mpamaritra Anarana Anarana Mpampitohy Matoanteny Mpanoritra Anarana Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpanoritra Anarana Kianteny Anarana Tambinteny Mpampitohy Mpanoritra Mpamaritra Matoanteny Tambinteny Tambinteny Anarana
"""Ary izy ireo namabo ny fananana rehetra tao Sodoma sy Gomora ary ny hanina rehetra.""",Mpampitohy Mpisolo Mpisolo Matoanteny Mpanoritra Anarana Mpamaritra Tambinteny Anarana Mpampitohy Anarana Mpampitohy Mpanoritra Anarana Mpamaritra
"""Ary namabo ny zana-drahalahin'i Abrama koa izy, dia Lota, mbamin'ny fananany, dia lasa nandeha; fa nonina tao Sodoma koa Lota.""",Mpampitohy Matoanteny Mpanoritra Anarana Anarana Mpanoritra Anarana Mpampitohy Mpisolo Kianteny Anarana Mpampiankina Mpanoritra Anarana Kianteny Matoanteny Matoanteny Tambinteny Matoanteny Tambinteny Anarana Mpampitohy Anarana
"""Ary tonga ny anankiray izay efa nandositra ka nanambara tamin'i Abrama Hebreo izay nonina teo an-kazo terebintan'i Mamre Amorita, rahalahin'i Eskola sy Anera; fa ireo dia olona efa vita fanekena tamin'i Abrama.""",Mpampitohy Matoanteny Mpanoritra Tambinteny Mpisolo Tambinteny Matoanteny Kianteny Matoanteny Mpampiankina Mpanoritra Anarana Anarana Mpisolo Matoanteny Tambinteny Tambinteny Anarana Anarana Mpanoritra Anarana Anarana Anarana Mpampitohy Anarana Mpampitohy Anarana Tambinteny Mpisolo Kianteny Anarana Tambinteny Matoanteny Anarana Mpampiankina Mpanoritra Anarana
"""Ary raha nahare Abrama fa lasan-ko babo ny rahalahiny dia nitondra ny ompikeliny valo ambin'ny folo amby telon-jato izy, izay efa nahay niady.""",Mpampitohy Mpampitohy Matoanteny Anarana Tambinteny Anarana Mpamaritra Anarana Mpanoritra Anarana Kianteny Matoanteny Mpanoritra Anarana Mpamaritra Anarana Mpanoritra Mpamaritra Anarana Mpamaritra Mpamaritra Mpisolo Mpisolo Tambinteny Matoanteny Matoanteny 
"""Ka nanenjika hatrany Dana.""",Kianteny Matoanteny Tambinteny Anarana
"""Dia nitokotoko hamely azy nony alina izy sy ny andevolahiny; dia namely azy izy ka nanenjika azy hatrany Hoba, izay ao avaratr'i Damaskosy.""",Mpampitohy Matoanteny Matoanteny Mpisolo Mpampitohy Anarana Mpisolo Mpampitohy Mpanoritra Anarana Kianteny Matoanteny Mpisolo Mpisolo Kianteny Matoanteny Mpisolo Tambinteny Anarana Mpisolo Tambinteny Tambinteny Mpanoritra Anarana
"""Ary nampody ny fananana rehetra izy, ary Lota rahalahiny sy ny fananany dia nampodiny koa mbamin'ny vehivavy sy ny vahoaka.""",Mpampitohy Matoanteny Mpanoritra Anarana Mpamaritra Mpisolo Mpampitohy Anarana Anarana Mpampitohy Mpanoritra Anarana Kianteny Matoanteny Mpampitohy Mpampiankina Mpanoritra Anarana Mpampitohy Mpanoritra Anarana
"""Dia nivoaka ny mpanjakan'i Sodoma hitsena an'i Abrama teo an-dohasaha Save (Lohasahan'ny mpanjaka izany), rehefa niverina izy avy nandresy an'i Kedorlaomera sy ireo mpanjaka nomba azy.""",Mpampitohy Matoanteny Mpanoritra Anarana Mpanoritra Anarana Matoanteny Tambinteny Mpanoritra Anarana Tambinteny Tambinteny Anarana Anarana Anarana Mpanoritra Anarana Mpisolo Tambinteny Matoanteny Mpisolo Mpamaritra Matoanteny Tambinteny Mpanoritra Anarana Mpampitohy Mpisolo Anarana Matoanteny Mpisolo
"""Ary Melkizedeka, mpanjakan'i Salema, nivoaka nitondra mofo sy divay; ary izy dia mpisoron'Andriamanitra Avo Indrindra.""",Mpampitohy Anarana Anarana Mpanoritra Anarana Matoanteny Matoanteny Anarana Mpampitohy Anarana Mpampitohy Mpisolo Kianteny Anarana Anarana Mpamaritra Tambinteny
"""Dia nitso-drano azy Izy ka nanao hoe: Hotahin'Andriamanitra Avo indrindra anie Abrama, dia Andriamanitra Izay nahary ny lanitra sy ny tany; Ary isaorana anie Andriamanitra Avo Indrindra, Izay efa nanolotra ny fahavalonao teo an-tananao.""",Mpampitohy Matoanteny Anarana Mpisolo Mpisolo Kianteny Matoanteny Tambinteny Matoanteny Anarana Mpamaritra Tambinteny Kianteny Anarana Kianteny Anarana Mpisolo Anarana Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpampitohy Matoanteny Kianteny Anarana Mpamaritra Tambinteny Mpisolo Tambinteny Matoanteny Mpanoritra Anarana Tambinteny Tambinteny Anarana
"""Dia nomen'i Abrama azy ny ampahafolon'ny zavatra rehetra.""",Mpampitohy Matoanteny Mpanoritra Anarana Mpisolo Mpanoritra Anarana Mpanoritra Anarana Mpamaritra
"""Ary hoy ny mpanjakan'i Sodoma tamin'i Abrama: Omeo ahy ny olona, fa ny fananana ento ihany ho anao.""",Mpampitohy Tambinteny Mpanoritra Anarana Mpanoritra Anarana Mpampiankina Mpanoritra Anarana Matoanteny Mpisolo Mpanoritra Anarana Tambinteny Mpanoritra Anarana Matoanteny Tambinteny Kianteny Mpisolo
"""Fa hoy Abrama tamin'ny mpanjakan'i Sodoma: Izaho efa nanangan-tanana tamin'i Jehovah, Andriamanitra Avo Indrindra, Izay nahary ny lanitra sy ny tany, fa tsy handray na taretra na fehin-kapa aza amin'izay rehetra mety ho anao andrao hataonao hoe: Izaho no nampanan-karena an'i Abrama),afa-tsy izay efa nohanin'ny zatovo sy ny anjaran'ny olona izay niaraka tamiko, dia Anera sy Eskola ary Mamre; aoka horaisin'ireo ny anjarany.""",Tambinteny Mpamaritra Anarana Mpampiankina Mpanoritra Anarana Mpanoritra Anarana Mpisolo Tambinteny Matoanteny Anarana Mpampiankina Mpanoritra Anarana Anarana Mpamaritra Tambinteny Mpisolo Anarana Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Tambinteny Tambinteny Matoanteny Kianteny Anarana Kianteny Anarana Kianteny Mpampiankina Mpisolo Mpamaritra Matoanteny Kianteny Mpisolo Matoanteny Matoanteny Tambinteny Mpisolo Kianteny Matoanteny Anarana Tambinteny Mpanoritra Anarana Tambinteny Tambinteny Mpisolo Tambinteny Matoanteny Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpanoritra Anarana Mpisolo Matoanteny Mpisolo Kianteny Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Tenim-piotanana Matoanteny Mpisolo Mpanoritra Anarana
"""Rehefa afaka izany, dia tonga tamin'i Abrama ny tenin'i Jehovah tamin'ny fahitana ka nanao hoe: Aza matahotra, ry Abrama; Izaho no ampinganao sy valim-pitia lehibe indrindra ho anao.""",Tambinteny Matoanteny Mpisolo Kianteny Matoanteny Mpampiankina Mpanoritra Anarana Mpanoritra Anarana Mpanoritra Anarana Mpampiankina Mpanoritra Anarana Kianteny Matoanteny Tambinteny Kianteny Matoanteny Kianteny Anarana Mpisolo Kianteny Matoanteny Mpampitohy Matoanteny Anarana Mpamaritra Tambinteny Kianteny Mpisolo
"""Ary hoy Abrama: Jehovah Tompo ô, inona no homenao ahy? fa izaho mandroso fahanterana nefa tsy manan-janaka, ary ny ho tompon'ny ahy dia ilay Eliezera avy any Damaskosy.""",Mpampitohy Mpamaritra Anarana Anarana Anarana Tenim-piotanana Mpisolo Kianteny Matoanteny Mpisolo Tambinteny Mpisolo Matoanteny Anarana Mpampitohy Tambinteny Matoanteny Anarana Mpampitohy Mpanoritra Kianteny Anarana Mpanoritra Mpisolo Kianteny Mpanoritra Anarana Mpamaritra Tambinteny Anarana
"""Ary hoy koa Abrama: Indro, izaho tsy nomenao fara handimby, ka, indro, ny anankiray amin'ny ato an-tranoko no handova ahy.""",Mpampitohy Tambinteny Mpampitohy Anarana Tenim-piotanana Mpisolo Tambinteny Matoanteny Anarana Matoanteny Kianteny Tenim-piotanana Mpanoritra Mpamaritra Mpampiankina Mpanoritra Tambinteny Tambinteny Anarana Kianteny Matoanteny Mpisolo
"""Ary, indro, ny tenin'i Jehovah tonga taminy hoe: Tsy handova anao izany; fa izay haterakao, dia izy no handova anao.""",Mpampitohy Tenim-piotanana Mpanoritra Anarana Mpanoritra Anarana Matoanteny Mpampiankina Mpamaritra Tambinteny Matoanteny Mpisolo Mpisolo Tambinteny Mpisolo Matoanteny Kianteny Mpisolo Kianteny Matoanteny Mpisolo
"""Dia nitondra azy nivoaka teo ivelan'ny lay Izy ka nanao hoe: Jereo ange ny lanitra, ka isao ny kintana, raha mahisa azy ianao.""",Mpampitohy Matoanteny Mpisolo Matoanteny Tambinteny Tambinteny Mpanoritra Anarana Mpisolo Kianteny Matoanteny Tambinteny Matoanteny Kianteny Mpanoritra Anarana Kianteny Matoanteny Mpanoritra Anarana Mpampitohy Matoanteny Mpisolo Mpisolo
"""Dia hoy Izy taminy: Ho tahaka izany ny taranakao.""",Mpanoritra Mpamaritra Mpisolo Mpampiankina Kianteny Mpamaritra Mpisolo Mpanoritra Anarana
"""Ary nino an'i Jehovah izy; ka dia nisainy ho fahamarinany izany.""",Mpampitohy Matoanteny Tambinteny Mpanoritra Anarana Mpisolo Kianteny Kianteny Matoanteny Kianteny Anarana Mpisolo
"""Ary hoy Izy taminy: Izaho no Jehovah Izay nitondra anao nivoaka avy tany Oran'ny Kaldeana, mba homeko anao ity tany ity ho lovanao.""",Mpampitohy Mpamaritra Mpisolo Mpampiankina Mpisolo Kianteny Anarana Mpisolo Matoanteny Mpisolo Matoanteny Tambinteny Tambinteny Anarana Mpanoritra Anarana Kianteny Matoanteny Mpisolo Mpisolo Anarana Mpisolo Kianteny Anarana
"""Ary hoy Izy: Jehovah Tompo ô, ahoana no hahafantarako fa handova ity aho?""",Mpampitohy Mpamaritra Mpisolo Anarana Anarana Tenim-piotanana Tambinteny Kianteny Matoanteny Tambinteny Matoanteny Mpisolo Mpisolo
"""Ary hoy Izy taminy: Itondray ombivavy kely efa telo taona Aho sy osivavy efa telo taona sy ondrilahy efa telo taona ary domohina sy zana-boromailala.""",Mpampitohy Mpamaritra Mpisolo Mpampiankina Matoanteny Anarana Mpamaritra Tambinteny Mpamaritra Anarana Mpisolo Mpampitohy Anarana Tambinteny Mpamaritra Anarana Mpampitohy Anarana Tambinteny Mpamaritra Anarana Mpampitohy Anarana Mpampitohy Anarana Anarana
"""Dia nentiny teo aminy izany rehetra izany; ary nosasahiny ireny, ka nampifanandrifiny avy ny tapany; fa ny vorona tsy mba nosasahiny.""",Mpampitohy Matoanteny Tambinteny Mpampiankina Mpisolo Mpamaritra Mpisolo Mpampitohy Matoanteny Mpisolo Kianteny Matoanteny Mpamaritra Mpanoritra Anarana Tambinteny Mpanoritra Anarana Tambinteny Kianteny Matoanteny
"""Ary nidina teo amin'ny fatin'ireo ny vorona mpihaza, fa nandroaka azy Abrama.""",Mpampitohy Matoanteny Tambinteny Mpampiankina Mpanoritra Anarana Mpisolo Mpanoritra Anarana Anarana Tambinteny Matoanteny Mpisolo Anarana
"""Ary rehefa hilentika ny masoandro, dia sondrian-tory Abrama; ary, indro, aizina mahatsiravina indrindra no nahazo azy.""",Mpampitohy Tambinteny Matoanteny Mpanoritra Anarana Kianteny Matoanteny Anarana Anarana Mpampitohy Tenim-piotanana Matoanteny Matoanteny Tambinteny Kianteny Matoanteny Mpisolo
"""Ary hoy Jehovah tamin'i Abrama: Aoka ho fantatrao marina fa ho vahiny any amin'ny tany izay tsy azy ny taranakao ary hanompo ny olona any; ary hampahoriny efa-jato taona izy.""",Mpampitohy Mpamaritra Anarana Mpampiankina Mpanoritra Anarana Tenim-piotanana Kianteny Matoanteny Mpamaritra Tambinteny Kianteny Anarana Tambinteny Mpampiankina Mpanoritra Anarana Mpisolo Tambinteny Mpisolo Mpanoritra Anarana Mpampitohy Matoanteny Mpanoritra Anarana Tambinteny Mpampitohy Matoanteny Mpamaritra Mpamaritra Anarana Mpisolo
"""Ary izany firenena izany kosa, izay hotompoiny, dia hotsaraiko; ary rehefa afaka izany, dia hivoaka mitondra harem-bevava izy.""",Mpampitohy Mpisolo Anarana Mpisolo Mpampitohy Mpisolo Matoanteny Kianteny Matoanteny Mpampitohy Tambinteny Matoanteny Mpisolo Kianteny Matoanteny Matoanteny Anarana Anarana Mpisolo
"""Nefa ianao kosa ho any amin'ny razanao amin'ny fiadanana; ho tratrantitra indrindra ianao vao hodi-mandry.""",Mpampitohy Mpisolo Mpampitohy Kianteny Tambinteny Mpampiankina Mpanoritra Anarana  Mpampiankina Mpanoritra Anarana Kianteny Anarana Tambinteny Mpisolo Kianteny Matoanteny Matoanteny
"""Fa raha mby amin'ny zafiafy, dia hiverina atỳ izy; fa tsy mbola tanteraka ny heloky ny Amorita.""",Tambinteny Mpampitohy Kianteny Mpampiankina Mpanoritra Anarana Kianteny Matoanteny Tambinteny Mpisolo Tambinteny Tambinteny Tambinteny Mpamaritra Mpanoritra Anarana Mpanoritra Anarana
